level: Error; system: 45; instance: 25; action: A; timestamp: 01-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 01-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 01-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 01-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 01-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 02-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 02-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 02-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 02-01-1970;
level: Error; system: 45; instance: 25; action: A; timestamp: 02-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 03-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 03-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 03-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 04-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 04-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 05-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 05-01-1970;
level: Error; system: 45; instance: 25; action: A; timestamp: 05-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 06-01-1970;
level: Error; system: 45; instance: 25; action: B; timestamp: 06-01-1970;
level: Error; system: 45; instance: 25; action: C; timestamp: 06-01-1970;
